beerme_id,name,city,region,country
9572,'t Hofbrouwerijke,Beerzel,Antwerpen,Belgium
10482,(512) Brewing Company,Austin,Texas,United States
9799,1. Bad Nauheimer Gasthausbrauerei,Bad Nauheim,Hessen,Germany
8181,1. Dampfbierbrauerei Zwiesel GmbH & Co.KG,Zwiesel,Bayern,Germany
11316,1. Hildener Landbrauerei,Hilden,Nordrhein-Westfalen,Germany
1659,1. Mainzer Gasthausbrauerei GmbH,Mainz,Rheinland-Pfalz,Germany
9699,1. Ostfriesische Küstenbrauerei zu Werdum,Werdum,Niedersachsen,Germany
7540,1. Rügener Brauhaus,Göhren/Rügen,Mecklenburg-Vorpommern,Germany
10433,10 Barrel Brewing,Bend,Oregon,United States
12849,10 Barrel Brewing — Boise,Boise,Idaho,United States
13579,101 North Brewing,Petaluma,California,United States
11917,12 String Brewing Co,Spokane Valley,Washington,United States
12050,13oxn Hausbrauerei,Sankt Lorenz am Mondsee,,Austria
13176,14th Star Brewing,Saint Albans,Vermont,United States
68,1516 Brewing Company,Wien,,Austria
8429,1516 WestParkBräu,Ingolstadt,Bayern,Germany
10874,16 Mile Brewing,Georgetown,Delaware,United States
12132,16 Tons,Moskva,Moskva,Russia
8486,1648 Brewing Co.,Lewes,East Sussex,United Kingdom
13015,1702 Beer & Pizza,Tucson,Arizona,United States
11324,192 Brewing Company,Kenmore,Washington,United States
10328,2 Brothers Brewery,Moorabbin,Victoria,Australia
8437,200 Bräuhaus,Seoul,,Republic of Korea
5463,21st Amendment Brewery Cafe,San Francisco,California,United States
5335,23rd Street Brewery,Lawrence,Kansas,United States
11531,2nd Shift Brewing,New Haven,Missouri,United States
9393,3 Brewers Restaurant Micro-Brewery,Toronto,Ontario,Canada
12986,3 Cordilleras,Medellin,,Colombia
1566,3 Fonteinen Brouwerij Ambachtelijke Geuzestekerij,Beersel,Vlaams Brabant,Belgium
13465,3 Guys & A Beer'd Brewing,Carbondale,Pennsylvania,United States
12745,3 Herons Brewing,Trumansburg,New York,United States
8465,3 Ravens Brewing Company,Thornbury,Victoria,Australia
12808,3 Sheeps Brewing Company,Sheboygan,Wisconsin,United States
11525,3 Stars Brewing,Washington,District of Columbia,United States
4592,30 Barrel Brewing,Cincinnati,Ohio,United States
13048,303 Brewing,Denver,Colorado,United States
12404,32 Via dei Birrai,Pederobba,,Italy
11482,3docs Brewhouse,Ruston,Louisiana,United States
12880,4 Hands Brewing,Saint Louis,Missouri,United States
12599,4 Paws Brewing,Chicago,Illinois,United States
10505,4 Pines Brewing Company,Manly,New South Wales,Australia
13204,40 Arpent,Chalmette,Louisiana,United States
13562,405 Brewing,Oklahoma City,Oklahoma,United States
11860,406 Brewing Company,Bozeman,Montana,United States
13580,41 Oaks Brewing,Oakhurst,California,United States
13138,450 North Brewing Company,Columbus,Indiana,United States
12164,49th State Brewery,Healy,Alaska,United States
6452,4th Street Brewing,Gresham,Oregon,United States
12306,4th Way Brewing,Berkeley,California,United States
11808,5 Points Brewing,San Diego,California,United States
12137,5 Rabbit Cerveceria,Chicago,Illinois,United States
11819,50 Back Brewing,Pepperell,Massachusetts,United States
12509,508 Gastrobrewery,New York,New York,United States
9592,51 North Brewing,Lake Orion,Michigan,United States
11288,510 Brewing,Fremont,California,United States
13143,515 Brewing,Clive,Iowa,United States
12643,5th Street Brewpub,Sedalia,Missouri,United States
13545,603 Brewery,Campton,New Hampshire,United States
11512,612Brew,Minneapolis,Minnesota,United States
11068,7 Seas Brewing Company,Gig Harbor,Washington,United States
4,75th Street Brewery,Kansas City,Missouri,United States
11837,77 Brewing,New York,New York,United States
12070,7th Settlement Brewery,Dover,New Hampshire,United States
12015,8 Wired Brewing,Blenheim,,New Zealand
11882,8th Wonder Brewery,Houston,Texas,United States
11521,907 Brewing,Ketchikan,Alaska,United States
11303,961 Beer,Mazraat Yachouh,,Lebanon
5797,A-One Brewery,Higashimatsuyama-shi,Saitama-ken,Japan
30,A.J. Gordon's Brewing,New York,New York,United States
5917,A.J.I. Beer,Minoh-shi,Ōsaka-fu,Japan
170,A.W. Shucks,Charleston,South Carolina,United States
5,A1A Ale Works,Saint Augustine,Florida,United States
4669,AAA Brewing,Plattsburgh,New York,United States
2606,Aalener Löwenbrauerei,Aalen,Baden-Württemberg,Germany
10882,Aardwolf Pub & Brewery,Ponte Vedra,Florida,United States
9209,Aarhus Bryghus,Viby J,,Denmark
6,Aass Brewery,Drammen,,Norway
1960,Aba Brewery,Aba,,Nigeria
12947,Abandon Brewing Company,Penn Yan,New York,United States
5743,Abashiri Brewery,Abashiri-shi,Hokkai-dō,Japan
7,Abbaye de Leffe,Dinant,Namur,Belgium
532,Abbaye Notre Dame du St Remy,Rochefort,Namur,Belgium
5423,Abbey Ales Limited,Bath,Somerset,United Kingdom
9140,Abbey Beverage Company,Santa Fe,New Mexico,United States
8,Abbey Brewing Company,Miami Beach,Florida,United States
11681,Abbey Ridge,Alto Pass,Illinois,United States
10986,Abbey Wright Brewing,Williamsport,Pennsylvania,United States
6954,Abbeydale Brewery,Sheffield,South Yorkshire,United Kingdom
6267,ABC New Cicer,Bissau,,Guinea-Bissau
8605,Abe & Roscoe's Brewpub & Eatery,Ottawa,Ontario,Canada
10,Abel Brown's Brewery,Hitchin,Hertfordshire,United Kingdom
535,Aberdeen Brewing,Valparaiso,Indiana,United States
11,Aberdeenshire Ales Ltd.,Ellon,Scotland,United Kingdom
12,Aberystwyth Ales,Dyfed,Wales,United Kingdom
8396,Abilene Brewing,Abilene,Texas,United States
13,Abita Brewing,Covington,Louisiana,United States
14,Abita Brewpub,Abita Springs,Louisiana,United States
12908,ABQ Brewing,Albuquerque,New Mexico,United States
17,Abula Alus Darītava,Brenguļi,,Latvia
11726,Abuljadayel Beverages Inc.,Jeddah,,Saudi Arabia
6921,Academy of Fine Beers,Santa Ana,California,United States
18,Acadian Brewing,New Orleans,Louisiana,United States
11797,Acadian Craft Brewing,New Orleans,Louisiana,United States
13593,Acadian Farms & Brewery,Carson,Washington,United States
15,Accra Brewery Ltd,Accra,,Ghana
7340,Ace Continental Exports,Mumbai,,India
8840,Acorn Brewery,Barnsley,South Yorkshire,United Kingdom
13694,Acoustic Ales Brewing Experiment,San Diego,California,United States
6969,Acton's Country Pub and Microbrewery,Aughrim,,Ireland
13444,Actual Brewing,Columbus,Ohio,United States
4219,Adam's Northwest Bistro and Brewery,Monroe,Washington,United States
21,Adambräu,Innsbruck,,Austria
22,Addingtons,Ottawa,Ontario,Canada
11384,Adelbert's Brewery,Austin,Texas,United States
8469,Adirondack Pub & Brewery,Lake George,New York,United States
23,Adirondack Trail Brewing,Alder Creek,New York,United States
3659,Adler Brauerei Göggingen,Krauchenwies/Göggingen,Baden-Württemberg,Germany
6048,Adler Brauerei Gebhard Föhr,Ehingen/Donau,Baden-Württemberg,Germany
5399,Adler-Brauerei,Mögglingen,Baden-Württemberg,Germany
7413,Adler-Bräu,Wiernsheim,Baden-Württemberg,Germany
7640,Adler-Bräu,Amerdingen,Bayern,Germany
8050,Adler-Bräu,Schlüsselfeld,Bayern,Germany
8097,Adler-Bräu,Stettfeld,Bayern,Germany
5648,Adlerbrauerei Balingen,Balingen,Baden-Württemberg,Germany
745,Adlerbrauerei Götz,Geislingen an der Steige,Baden-Württemberg,Germany
6708,Adlerbrauerei Haag,Waibstadt,Baden-Württemberg,Germany
446,Adlerbrauerei Holzherr Eislingen,Eislingen/Fils,Baden-Württemberg,Germany
5703,Adlerbrauerei Rupf,Dürmentingen,Baden-Württemberg,Germany
7622,Adlerbrauerei Schmetzer,Michelbach an der Lücke,Baden-Württemberg,Germany
9354,Adlerbräu Nguyen Du Brauhof,Thành phố Hồ Chí Minh,,Việt Nam
12468,Admiral Sasquatch,Summit,Illinois,United States
25,Adnams & Co.,Southwold,Suffolk,United Kingdom
13660,Adroit Theory Brewing Company,Sterling,Virginia,United States
5358,Africana Breweries - Ajoda New Town,Ibadan,,Nigeria
5375,Africana Breweries - Ibadan,Ibadan,,Nigeria
13074,Aftershock Brewing,Temecula,California,United States
13525,Against the Grain Brewery & Alehouse,Rock Island,Illinois,United States
12670,Against the Grain Brewery & Smokehouse,Louisville,Kentucky,United States
6017,Agassiz Brewing,Winnipeg,Manitoba,Canada
5368,Agro Industrial Ltd.,Ede,,Nigeria
8649,Agro-Flott BT,Bekesszentandras,,Hungary
9634,Agtrup Bryghus,Bjert,,Denmark
