name,beerme_link,city,state
(512) Brewing Company,http://beerme.com/brewery.php?10482,Austin,Texas
10 Barrel Brewing,http://beerme.com/brewery.php?10433,Bend,Oregon
10 Barrel Brewing — Boise,http://beerme.com/brewery.php?12849,Boise,Idaho
101 North Brewing,http://beerme.com/brewery.php?13579,Petaluma,California
12 String Brewing Co,http://beerme.com/brewery.php?11917,Spokane Valley,Washington
14th Star Brewing,http://beerme.com/brewery.php?13176,Saint Albans,Vermont
16 Mile Brewing,http://beerme.com/brewery.php?10874,Georgetown,Delaware
1702 Beer & Pizza,http://beerme.com/brewery.php?13015,Tucson,Arizona
192 Brewing Company,http://beerme.com/brewery.php?11324,Kenmore,Washington
21st Amendment Brewery Cafe,http://beerme.com/brewery.php?5463,San Francisco,California
23rd Street Brewery,http://beerme.com/brewery.php?5335,Lawrence,Kansas
2nd Shift Brewing,http://beerme.com/brewery.php?11531,New Haven,Missouri
3 Guys & A Beer'd Brewing,http://beerme.com/brewery.php?13465,Carbondale,Pennsylvania
3 Herons Brewing,http://beerme.com/brewery.php?12745,Trumansburg,New York
3 Sheeps Brewing Company,http://beerme.com/brewery.php?12808,Sheboygan,Wisconsin
3 Stars Brewing,http://beerme.com/brewery.php?11525,Washington,District of Columbia
30 Barrel Brewing,http://beerme.com/brewery.php?4592,Cincinnati,Ohio
303 Brewing,http://beerme.com/brewery.php?13048,Denver,Colorado
3docs Brewhouse,http://beerme.com/brewery.php?11482,Ruston,Louisiana
4 Hands Brewing,http://beerme.com/brewery.php?12880,Saint Louis,Missouri
4 Paws Brewing,http://beerme.com/brewery.php?12599,Chicago,Illinois
40 Arpent,http://beerme.com/brewery.php?13204,Chalmette,Louisiana
405 Brewing,http://beerme.com/brewery.php?13562,Oklahoma City,Oklahoma
406 Brewing Company,http://beerme.com/brewery.php?11860,Bozeman,Montana
41 Oaks Brewing,http://beerme.com/brewery.php?13580,Oakhurst,California
450 North Brewing Company,http://beerme.com/brewery.php?13138,Columbus,Indiana
49th State Brewery,http://beerme.com/brewery.php?12164,Healy,Alaska
4th Street Brewing,http://beerme.com/brewery.php?6452,Gresham,Oregon
4th Way Brewing,http://beerme.com/brewery.php?12306,Berkeley,California
5 Points Brewing,http://beerme.com/brewery.php?11808,San Diego,California
5 Rabbit Cerveceria,http://beerme.com/brewery.php?12137,Chicago,Illinois
50 Back Brewing,http://beerme.com/brewery.php?11819,Pepperell,Massachusetts
508 Gastrobrewery,http://beerme.com/brewery.php?12509,New York,New York
51 North Brewing,http://beerme.com/brewery.php?9592,Lake Orion,Michigan
510 Brewing,http://beerme.com/brewery.php?11288,Fremont,California
515 Brewing,http://beerme.com/brewery.php?13143,Clive,Iowa
5th Street Brewpub,http://beerme.com/brewery.php?12643,Sedalia,Missouri
603 Brewery,http://beerme.com/brewery.php?13545,Campton,New Hampshire
612Brew,http://beerme.com/brewery.php?11512,Minneapolis,Minnesota
7 Seas Brewing Company,http://beerme.com/brewery.php?11068,Gig Harbor,Washington
75th Street Brewery,http://beerme.com/brewery.php?4,Kansas City,Missouri
77 Brewing,http://beerme.com/brewery.php?11837,New York,New York
7th Settlement Brewery,http://beerme.com/brewery.php?12070,Dover,New Hampshire
8th Wonder Brewery,http://beerme.com/brewery.php?11882,Houston,Texas
907 Brewing,http://beerme.com/brewery.php?11521,Ketchikan,Alaska
A.J. Gordon's Brewing,http://beerme.com/brewery.php?30,New York,New York
A.W. Shucks,http://beerme.com/brewery.php?170,Charleston,South Carolina
A1A Ale Works,http://beerme.com/brewery.php?5,Saint Augustine,Florida
AAA Brewing,http://beerme.com/brewery.php?4669,Plattsburgh,New York
Aardwolf Pub & Brewery,http://beerme.com/brewery.php?10882,Ponte Vedra,Florida
Abandon Brewing Company,http://beerme.com/brewery.php?12947,Penn Yan,New York
Abbey Beverage Company,http://beerme.com/brewery.php?9140,Santa Fe,New Mexico
Abbey Brewing Company,http://beerme.com/brewery.php?8,Miami Beach,Florida
Abbey Ridge,http://beerme.com/brewery.php?11681,Alto Pass,Illinois
Abbey Wright Brewing,http://beerme.com/brewery.php?10986,Williamsport,Pennsylvania
Aberdeen Brewing,http://beerme.com/brewery.php?535,Valparaiso,Indiana
Abilene Brewing,http://beerme.com/brewery.php?8396,Abilene,Texas
Abita Brewing,http://beerme.com/brewery.php?13,Covington,Louisiana
Abita Brewpub,http://beerme.com/brewery.php?14,Abita Springs,Louisiana
ABQ Brewing,http://beerme.com/brewery.php?12908,Albuquerque,New Mexico
Academy of Fine Beers,http://beerme.com/brewery.php?6921,Santa Ana,California
Acadian Brewing,http://beerme.com/brewery.php?18,New Orleans,Louisiana
Acadian Craft Brewing,http://beerme.com/brewery.php?11797,New Orleans,Louisiana
Acadian Farms & Brewery,http://beerme.com/brewery.php?13593,Carson,Washington
Acoustic Ales Brewing Experiment,http://beerme.com/brewery.php?13694,San Diego,California
Actual Brewing,http://beerme.com/brewery.php?13444,Columbus,Ohio
Adam's Northwest Bistro and Brewery,http://beerme.com/brewery.php?4219,Monroe,Washington
Adelbert's Brewery,http://beerme.com/brewery.php?11384,Austin,Texas
Adirondack Pub & Brewery,http://beerme.com/brewery.php?8469,Lake George,New York
Adirondack Trail Brewing,http://beerme.com/brewery.php?23,Alder Creek,New York
Admiral Sasquatch,http://beerme.com/brewery.php?12468,Summit,Illinois
Adroit Theory Brewing Company,http://beerme.com/brewery.php?13660,Sterling,Virginia
Aftershock Brewing,http://beerme.com/brewery.php?13074,Temecula,California
Against the Grain Brewery & Alehouse,http://beerme.com/brewery.php?13525,Rock Island,Illinois
Against the Grain Brewery & Smokehouse,http://beerme.com/brewery.php?12670,Louisville,Kentucky
"Aiken Brewing Company, Grill and Bar",http://beerme.com/brewery.php?29,Aiken,South Carolina
Airdale Brewing,http://beerme.com/brewery.php?11131,San Diego,California
Airways Brewing Company,http://beerme.com/brewery.php?11270,Kent,Washington
Ajax Aleworks,http://beerme.com/brewery.php?13398,Richmond,Virginia
Aksarben Brewing (BOP),http://beerme.com/brewery.php?2566,Omaha,Nebraska
Alameda Brewhouse,http://beerme.com/brewery.php?33,Portland,Oregon
Alamo Beer Company,http://beerme.com/brewery.php?12821,San Antonio,Texas
Alamogordo Brewing,http://beerme.com/brewery.php?34,Alamogordo,New Mexico
Alaskan Brewing,http://beerme.com/brewery.php?35,Juneau,Alaska
Albany Brewing,http://beerme.com/brewery.php?40,Albany,California
Alcatraz Brewing - Auburn Hills,http://beerme.com/brewery.php?5595,Auburn Hills,Michigan
Alcatraz Brewing - Littleton,http://beerme.com/brewery.php?42,Littleton,Colorado
Alcatraz Brewing - Tempe,http://beerme.com/brewery.php?4584,Tempe,Arizona
Alcatraz Brewing — Indianapolis,http://beerme.com/brewery.php?41,Indianapolis,Indiana
Alcatraz Brewing — Orange,http://beerme.com/brewery.php?5663,Orange,California
Aldergrove Brewery,http://beerme.com/brewery.php?11143,Tulalip,Washington
Ale & Ocean Brew Pub,http://beerme.com/brewery.php?7298,La Jolla,California
Ale Asylum,http://beerme.com/brewery.php?9523,Madison,Wisconsin
Ale House Brewing,http://beerme.com/brewery.php?13319,San Jose,California
Ale House Rock,http://beerme.com/brewery.php?45,Huntington Beach,California
Ale Industries,http://beerme.com/brewery.php?10747,Concord,California
AleSmith Brewing,http://beerme.com/brewery.php?46,San Diego,California
Alewife Grille and Brewery,http://beerme.com/brewery.php?47,Glastonbury,Connecticut
Alexandria's Brewery,http://beerme.com/brewery.php?12776,Findlay,Ohio
Ali`i Brewing,http://beerme.com/brewery.php?52,Honolulu,Hawaii
All American Brewing,http://beerme.com/brewery.php?55,Dublin,Ohio
All American Grill & Brewhouse,http://beerme.com/brewery.php?11513,Waverly,Minnesota
All Saints Brewing,http://beerme.com/brewery.php?12983,Greensburg,Pennsylvania
All-American Beer Company,http://beerme.com/brewery.php?13404,Saint Louis,Missouri
All-American Sports Café,http://beerme.com/brewery.php?6031,Ridgewood,New Jersey
Allagash Brewing,http://beerme.com/brewery.php?54,Portland,Maine
Alligator Brewing,http://beerme.com/brewery.php?12393,Gainesville,Florida
Almanac Beer Co.,http://beerme.com/brewery.php?12307,San Francisco,California
Aloha Beer Co.,http://beerme.com/brewery.php?3703,Honolulu,Hawaii
Alosta Brewing,http://beerme.com/brewery.php?13582,Glendora,California
